case_id,N_st,n_x,n_y,l_x_mm,l_y_mm,C_G1_Corner_b,C_G1_Edge_b,C_G1_Interior_b,B_G1_Edge_b,B_G1_Edge_h,B_G1_Interior_b,B_G1_Interior_h,C_G2_Corner_b,C_G2_Edge_b,C_G2_Interior_b,B_G2_Edge_b,B_G2_Edge_h,B_G2_Interior_b,B_G2_Interior_h,C_G3_Corner_b,C_G3_Edge_b,C_G3_Interior_b,B_G3_Edge_b,B_G3_Edge_h,B_G3_Interior_b,B_G3_Interior_h
5000,8,3,8,6000,5400,650,650,650,150,400,300,500,400,400,650,150,400,150,450,400,400,400,150,400,150,450
5001,10,4,8,4200,3600,800,800,800,250,450,250,450,550,800,800,250,450,250,450,400,400,400,150,400,150,400
5002,9,5,7,6600,7200,400,450,600,350,650,350,650,400,450,600,150,400,150,400,400,450,600,150,400,150,400
5003,9,4,7,6000,6000,400,500,500,250,450,350,750,400,500,500,150,450,250,550,400,500,500,150,400,150,400
5004,7,3,6,6600,7200,650,650,650,200,450,400,750,650,650,650,200,450,400,750,650,650,650,150,400,150,450
5005,9,3,5,3600,4800,400,400,400,200,500,300,650,400,400,400,200,400,200,400,400,400,400,200,400,200,400
5006,6,4,8,4800,4800,750,750,750,150,400,200,500,400,650,750,150,400,150,400,400,650,750,150,400,150,400
5007,6,5,5,6600,5400,650,650,750,400,650,400,650,600,600,750,400,650,400,650,600,600,750,250,450,400,650
5008,6,3,9,7200,4800,400,600,700,350,750,350,750,400,400,400,250,450,250,450,400,400,400,200,450,250,450
5009,8,5,5,4200,6000,750,750,750,250,450,300,750,500,750,750,250,400,300,750,450,750,750,250,400,300,750
5010,6,3,9,4200,6000,450,450,450,250,450,250,450,400,400,450,250,450,250,450,400,400,450,250,450,250,450
5011,10,3,9,4200,6600,750,750,750,200,500,200,500,750,750,750,200,500,200,500,750,750,750,150,400,150,400
5012,10,3,9,6600,4200,600,800,800,350,650,350,650,600,800,800,150,400,200,500,600,800,800,150,400,200,500
5013,7,3,6,6000,4200,500,500,500,300,700,300,700,450,500,500,150,400,200,400,400,500,500,150,400,150,400
5014,9,5,8,6600,5400,400,400,400,150,450,250,650,400,400,400,150,400,150,400,400,400,400,150,400,150,400
5015,8,4,10,3600,4800,450,450,500,150,450,150,450,450,450,450,150,450,150,450,400,400,400,150,450,150,450
5016,6,5,9,4800,3600,400,400,400,300,500,300,500,400,400,400,150,400,150,400,400,400,400,150,400,150,400
5017,9,5,5,7200,6600,600,600,600,400,700,400,700,450,500,600,250,700,250,700,450,500,600,150,400,250,550
5018,9,4,5,4200,4200,400,450,550,200,450,350,550,400,450,550,150,400,300,550,400,450,450,150,400,300,550
5019,7,5,9,3600,3600,800,800,800,300,800,300,800,550,550,550,300,800,300,800,550,550,550,300,800,300,800
5020,9,4,5,6600,5400,700,700,700,350,750,350,750,450,700,700,250,650,350,750,450,700,700,200,500,200,500
5021,6,3,9,4200,7200,500,500,500,150,450,150,450,450,450,500,150,400,150,400,450,450,450,150,400,150,400
5022,6,3,7,6000,5400,500,750,750,350,700,350,700,500,550,750,250,700,250,700,450,450,750,150,450,250,700
5023,10,3,7,6600,7200,650,650,650,150,400,300,550,650,650,650,150,400,200,400,550,550,550,150,400,200,400
5024,7,4,10,4200,5400,800,800,800,150,450,250,700,800,800,800,150,400,150,400,650,650,800,150,400,150,400
5025,7,4,10,6600,3600,400,750,750,250,700,250,700,400,750,750,250,700,250,700,400,750,750,200,600,250,700
5026,10,3,7,5400,7200,450,450,650,250,700,250,700,450,450,500,150,400,250,700,400,400,500,150,400,150,450
5027,6,3,10,6600,6600,550,550,550,250,400,250,400,400,550,550,250,400,250,400,400,550,550,150,400,250,400
5028,8,4,10,6600,6600,700,700,700,250,400,300,450,700,700,700,150,400,150,400,700,700,700,150,400,150,400
5029,7,3,5,6600,6000,600,600,800,300,700,300,700,600,600,800,300,700,300,700,600,600,650,300,700,300,700
5030,9,5,7,4800,4800,450,500,550,300,650,300,650,450,500,550,300,650,300,650,450,500,550,300,650,300,650
5031,6,5,6,6600,5400,750,750,750,150,450,250,550,750,750,750,150,400,250,400,750,750,750,150,400,200,400
5032,8,4,9,3600,4200,450,450,600,300,700,300,700,400,450,600,150,400,150,450,400,400,600,150,400,150,450
5033,7,5,6,3600,7200,400,400,500,300,600,300,600,400,400,500,300,600,300,600,400,400,400,150,450,150,450
5034,10,3,9,4800,4800,400,500,750,150,400,150,400,400,500,750,150,400,150,400,400,500,750,150,400,150,400
5035,8,5,6,5400,6000,400,400,500,300,700,300,700,400,400,500,300,600,300,700,400,400,500,200,600,200,600
5036,8,4,7,4800,6000,400,400,400,250,500,300,650,400,400,400,250,500,300,650,400,400,400,250,500,300,650
5037,7,4,8,4800,4800,450,450,450,150,400,300,650,450,450,450,150,400,300,650,450,450,450,150,400,300,650
5038,9,4,7,7200,6000,650,650,650,350,650,350,650,550,550,550,200,400,350,650,400,400,400,200,400,350,650
5039,9,5,6,4200,7200,500,500,500,200,600,200,600,450,450,500,150,400,200,600,400,450,500,150,400,150,400
